duration_frames;key_t;delay_frames;offset;ID;condition;correct_resp;rt;duration_measured;img;no;gender;age;response;onset
30;1.7535369396209717;60;;a;face_exp;;1.2506790161132812;;m0504.jpg;1;female;24;2;
30;5.292656898498535;60;;a;face_exp;;1.0463309288024902;;m0207.jpg;2;female;24;7;
30;9.12108302116394;60;;a;face_exp;;1.3318631649017334;;m0202.jpg;3;female;24;3;
30;12.91965389251709;60;;a;face_exp;;1.3034749031066895;;f0201.jpg;4;female;24;3;
30;16.63713002204895;60;;a;face_exp;;1.210651159286499;;m0508.jpg;5;female;24;6;
30;20.03310489654541;60;;a;face_exp;;0.8966019153594971;;f0111.jpg;6;female;24;6;
30;24.403257846832275;60;;a;face_exp;;1.874234914779663;;f0206.jpg;7;female;24;4;
30;27.93622088432312;60;;a;face_exp;;1.0287070274353027;;m0511.jpg;8;female;24;2;
30;31.795090913772583;60;;a;face_exp;;1.3613898754119873;;f0106.jpg;9;female;24;8;
30;35.045992851257324;60;;a;face_exp;;0.7518517971038818;;m0506.jpg;10;female;24;6;
30;38.739866971969604;60;;a;face_exp;;1.1869370937347412;;f0208.jpg;11;female;24;8;
30;42.149802923202515;60;;a;face_exp;;0.9034619331359863;;f0102.jpg;12;female;24;2;
30;45.92479705810547;60;;a;face_exp;;1.2693850994110107;;m0211.jpg;13;female;24;2;
30;49.495826959609985;60;;a;face_exp;;1.0635030269622803;;m0512.jpg;14;female;24;4;
30;53.13668203353882;60;;a;face_exp;;1.1447410583496094;;m0501.jpg;15;female;24;6;
30;56.74529504776001;60;;a;face_exp;;1.110192060470581;;m0214.jpg;16;female;24;2;
30;60.62006902694702;60;;a;face_exp;;1.375197172164917;;f0202.jpg;17;female;24;3;
30;64.3501558303833;60;;a;face_exp;;1.2282087802886963;;m0204.jpg;18;female;24;8;
30;68.29739689826965;60;;a;face_exp;;1.4486908912658691;;m0207.jpg;19;female;24;9;
30;72.48317193984985;60;;a;face_exp;;1.6904640197753906;;f0113.jpg;20;female;24;6;
30;75.86052799224854;60;;a;face_exp;;0.8731751441955566;;m0512.jpg;21;female;24;3;
30;79.51141905784607;60;;a;face_exp;;1.148287057876587;;f0115.jpg;22;female;24;2;
30;83.0499038696289;60;;a;face_exp;;1.0436389446258545;;f0214.jpg;23;female;24;1;
30;87.43180394172668;60;;a;face_exp;;1.8825910091400146;;f0204.jpg;24;female;24;3;
30;91.03303790092468;60;;a;face_exp;;1.1053009033203125;;f0101.jpg;25;female;24;1;
30;95.31669187545776;60;;a;face_exp;;1.779222011566162;;m0207.jpg;26;female;24;9;
30;98.67668890953064;60;;a;face_exp;;0.8610010147094727;;f0110.jpg;27;female;24;7;
30;101.87330102920532;60;;a;face_exp;;0.6985230445861816;;f0208.jpg;28;female;24;3;
30;105.1613450050354;60;;a;face_exp;;0.7946281433105469;;m0515.jpg;29;female;24;1;
30;108.56308603286743;60;;a;face_exp;;0.9041759967803955;;f0105.jpg;30;female;24;7;
30;112.16894292831421;60;;a;face_exp;;1.100827932357788;;f0107.jpg;31;female;24;8;
30;115.40080094337463;60;;a;face_exp;;0.7229108810424805;;f0203.jpg;32;female;24;3;
30;118.73178005218506;60;;a;face_exp;;0.8284921646118164;;m0206.jpg;33;female;24;7;
30;122.1387848854065;60;;a;face_exp;;0.9098608493804932;;m0512.jpg;34;female;24;2;
30;125.60604190826416;60;;a;face_exp;;0.9679429531097412;;f0113.jpg;35;female;24;3;
30;129.13382005691528;60;;a;face_exp;;1.019644021987915;;f0114.jpg;36;female;24;1;
30;132.4744279384613;60;;a;face_exp;;0.8339829444885254;;m0215.jpg;37;female;24;1;
30;135.79633498191833;60;;a;face_exp;;0.8136389255523682;;m0511.jpg;38;female;24;3;
30;139.1813108921051;60;;a;face_exp;;0.8895950317382812;;f0109.jpg;39;female;24;6;
30;142.63810300827026;60;;a;face_exp;;0.953948974609375;;m0213.jpg;40;female;24;1;
30;145.88409805297852;60;;a;face_exp;;0.7406320571899414;;m0214.jpg;41;female;24;1;
30;149.63391399383545;60;;a;face_exp;;1.248293161392212;;f0205.jpg;42;female;24;6;
30;153.05754685401917;60;;a;face_exp;;0.928508996963501;;m0211.jpg;43;female;24;2;
30;156.4004099369049;60;;a;face_exp;;0.8454370498657227;;m0205.jpg;44;female;24;8;
30;159.87919998168945;60;;a;face_exp;;0.9818630218505859;;m0207.jpg;45;female;24;9;
30;163.13348388671875;60;;a;face_exp;;0.7600538730621338;;m0215.jpg;46;female;24;1;
30;166.7923400402069;60;;a;face_exp;;1.160170078277588;;m0506.jpg;47;female;24;9;
30;170.35124492645264;60;;a;face_exp;;1.0591349601745605;;f0104.jpg;48;female;24;6;
30;173.68219804763794;60;;a;face_exp;;0.8305552005767822;;f0102.jpg;49;female;24;3;
30;177.030170917511;60;;a;face_exp;;0.8528668880462646;;m0515.jpg;50;female;24;2;
30;180.45528101921082;60;;a;face_exp;;0.9188511371612549;;f0115.jpg;51;female;24;3;
30;183.72413301467896;60;;a;face_exp;;0.7617931365966797;;m0206.jpg;52;female;24;7;
30;187.03673005104065;60;;a;face_exp;;0.8156111240386963;;m0201.jpg;53;female;24;1;
30;190.44764804840088;60;;a;face_exp;;0.9176161289215088;;f0214.jpg;54;female;24;1;
30;194.24806594848633;60;;a;face_exp;;1.2920820713043213;;m0202.jpg;55;female;24;6;
30;197.96084094047546;60;;a;face_exp;;1.2113070487976074;;f0201.jpg;56;female;24;2;
30;201.30374693870544;60;;a;face_exp;;0.8441720008850098;;m0503.jpg;57;female;24;3;
30;204.5289089679718;60;;a;face_exp;;0.7269690036773682;;m0205.jpg;58;female;24;7;
30;207.77755689620972;60;;a;face_exp;;0.7502110004425049;;f0203.jpg;59;female;24;4;
30;210.98646998405457;60;;a;face_exp;;0.7003660202026367;;m0502.jpg;60;female;24;4;
30;214.3082230091095;60;;a;face_exp;;0.8134429454803467;;f0208.jpg;61;female;24;7;
30;217.69720196723938;60;;a;face_exp;;0.8935229778289795;;f0212.jpg;62;female;24;9;
30;220.84732294082642;60;;a;face_exp;;0.6510739326477051;;m0214.jpg;63;female;24;1;
30;224.22409892082214;60;;a;face_exp;;0.8694090843200684;;f0113.jpg;64;female;24;3;
30;227.84339785575867;60;;a;face_exp;;1.1128618717193604;;f0104.jpg;65;female;24;9;
30;231.10214495658875;60;;a;face_exp;;0.7618560791015625;;m0213.jpg;66;female;24;1;
30;234.3787488937378;60;;a;face_exp;;0.7796599864959717;;m0513.jpg;67;female;24;1;
30;237.6994490623474;60;;a;face_exp;;0.8248560428619385;;f0112.jpg;68;female;24;2;
30;240.96573090553284;60;;a;face_exp;;0.765488862991333;;m0212.jpg;69;female;24;2;
30;244.4968159198761;60;;a;face_exp;;1.0377700328826904;;f0103.jpg;70;female;24;3;
30;247.96377086639404;60;;a;face_exp;;0.96185302734375;;m0212.jpg;71;female;24;3;
30;251.06127190589905;60;;a;face_exp;;0.5999798774719238;;f0202.jpg;72;female;24;2;
30;254.41236400604248;60;;a;face_exp;;0.8427231311798096;;m0204.jpg;73;female;24;8;
30;257.83082389831543;60;;a;face_exp;;0.9187300205230713;;f0208.jpg;74;female;24;7;
30;261.1180589199066;60;;a;face_exp;;0.7800910472869873;;m0511.jpg;75;female;24;2;
30;264.179151058197;60;;a;face_exp;;0.5656712055206299;;f0101.jpg;76;female;24;1;
30;267.3999328613281;60;;a;face_exp;;0.7281978130340576;;f0112.jpg;77;female;24;6;
30;270.7298619747162;60;;a;face_exp;;0.8327829837799072;;f0108.jpg;78;female;24;9;
30;274.2062978744507;60;;a;face_exp;;0.9835259914398193;;f0108.jpg;79;female;24;9;
